Update, Score
10000,228.7
20000,220.2
30000,245.3
40000,270.5
50000,284.3
60000,198.1
70000,283.2
80000,317.5
90000,291.2
100000,254.3
110000,265.0
120000,281.0
130000,298.2
140000,249.9
150000,237.8
160000,269.8
170000,292.1
180000,321.8
190000,330.0
200000,332.1
210000,353.7
220000,384.2
230000,253.8
240000,307.0
250000,355.3
260000,350.8
270000,376.3
280000,363.3
290000,366.8
300000,351.2
310000,293.4
320000,313.1
330000,339.3
340000,310.1
350000,359.1
360000,343.8
370000,439.3
380000,331.6
390000,311.3
400000,350.9
410000,346.6
420000,319.5
430000,314.1
440000,368.3
450000,363.4
460000,327.6
470000,354.5
480000,390.7
490000,313.0
500000,350.7
510000,366.7
520000,416.7
530000,357.0
540000,404.7
550000,398.0
560000,395.9
570000,393.6
580000,331.0
590000,299.1
600000,376.2
610000,389.0
620000,393.5
630000,324.5
640000,398.5
650000,352.2
660000,346.7
670000,343.0
680000,387.5
690000,379.5
700000,343.3
710000,423.7
720000,411.0
730000,386.0
740000,402.9
750000,400.9
760000,352.9
770000,424.0
780000,416.5
790000,355.1
800000,400.8
810000,351.8
820000,386.6
830000,300.2
840000,424.0
850000,388.3
860000,368.6
870000,436.8
880000,363.3
890000,408.8
900000,413.1
910000,395.9
920000,435.4
930000,373.5
940000,394.3
950000,423.2
960000,380.8
970000,337.0
980000,363.3
990000,407.8
1000000,446.8
